# ruleset sm-era-2 commit 5b01693 patrolBase 4 size 64 ticks 60000 ai 3 mirror 0 firmswap 0
seed,size,mirror,firmswap,ticks,offered,accepted,completed,failed,expired,acc_courier,acc_surveillance,acc_extraction,acc_sabotage,acc_acquisition,acc_defend,off_courier,off_surveillance,off_extraction,off_sabotage,off_acquisition,off_defend,courier,surveillance,extraction,sabotage,acquisition,defend,burns,downs,captures,arrests,rescues,banked,cacheLost,raids,raidsSucceeded,deployments,cleanExtracts,emergencyExtracts,heatMax,heatLockdownTicks,recognition,tierReached,avgSortieTicks,avgDeployTicks,deploysToTier3
1000,64,0,0,60000,80,14,9,2,27,4,2,5,1,0,2,569,26,329,24,0,447,4,1,4,0,0,0,14,4,4,4,0,397,0,3,0,4,1,0,5,4244,215,2,1763,8700,0
1822,64,0,0,60000,80,8,5,0,30,0,6,0,0,0,2,595,311,488,5,0,26,0,3,0,0,0,2,5,1,0,0,0,1449,414,48,1,4,1,0,5,6317,215,2,3500,49040,0
2644,64,0,0,60000,80,12,7,1,17,0,6,5,0,0,1,354,285,556,0,0,235,0,5,1,0,0,1,28,4,4,4,0,2070,0,10,0,5,2,0,5,31431,120,3,5019,26895,5
3466,64,0,0,60000,80,26,19,5,22,0,7,7,3,3,6,407,176,412,74,135,176,0,5,3,3,3,5,23,6,6,6,0,1346,5029,11,15,6,3,0,3,0,720,4,3659,9446,6
4288,64,0,0,60000,80,41,14,23,31,2,9,28,0,0,2,204,382,999,44,146,49,1,8,3,0,0,2,61,50,50,50,0,3934,3623,28,7,27,24,0,5,47619,410,3,5300,2362,8
5110,64,0,0,60000,80,24,17,3,30,1,11,8,0,0,4,335,96,620,80,217,52,1,8,4,0,0,4,21,3,3,3,0,4244,1242,8,2,8,5,0,4,7196,490,4,3517,11612,4
5932,64,0,0,60000,80,28,22,0,23,2,11,8,2,1,4,365,148,569,74,127,157,2,9,5,2,1,3,13,1,1,1,0,5679,882,10,2,8,5,0,5,962,785,4,3484,13476,5
6754,64,0,0,60000,80,43,21,17,25,0,7,22,2,1,11,648,152,424,38,31,139,0,4,11,0,1,5,36,23,23,23,0,4248,1346,8,3,11,8,0,5,49726,800,4,5217,10968,7
7576,64,0,0,60000,80,28,18,8,21,2,5,9,4,3,5,174,174,671,70,155,132,1,4,3,2,3,5,19,9,9,9,0,2122,3711,7,14,7,4,0,5,8310,805,4,5781,7370,7
8398,64,0,0,60000,80,66,4,62,22,0,5,61,0,0,0,151,269,4743,0,0,79,0,3,1,0,0,0,73,65,65,65,0,932,0,3,0,149,146,0,5,23918,90,2,9123,617,0
9220,64,0,0,60000,80,35,20,9,20,3,8,12,2,2,8,395,169,424,34,185,204,2,5,5,1,1,6,21,15,15,15,0,1623,3329,8,13,9,6,0,5,29530,770,4,5376,10700,7
10042,64,0,0,60000,80,68,4,63,23,0,5,62,0,0,1,245,480,3776,0,0,42,0,2,1,0,0,1,74,63,63,63,0,1191,0,3,0,127,124,0,5,37144,65,2,13021,866,0
