# ruleset sm-era-3 commit 5176f8a size 64 ticks 60000 ai 3 mirror 0 firmswap 0
seed,size,mirror,firmswap,ticks,offered,accepted,completed,failed,expired,acc_courier,acc_surveillance,acc_extraction,acc_sabotage,acc_acquisition,acc_defend,off_courier,off_surveillance,off_extraction,off_sabotage,off_acquisition,off_defend,courier,surveillance,extraction,sabotage,acquisition,defend,burns,downs,captures,arrests,rescues,banked,cacheLost,raids,raidsSucceeded,deployments,cleanExtracts,emergencyExtracts,heatMax,heatLockdownTicks,recognition,tierReached,avgSortieTicks,avgDeployTicks,deploysToTier3,ticksToTier3
1000,64,0,0,60000,80,47,21,23,25,9,4,26,0,0,8,251,158,607,47,28,486,7,3,3,0,0,8,53,27,27,27,0,1227,3073,18,12,20,17,0,5,17793,680,4,2594,3855,2,11929
1822,64,0,0,60000,80,24,18,5,28,4,12,4,1,1,2,288,193,373,105,121,349,1,9,4,1,1,2,27,7,7,7,0,5030,3788,24,6,8,5,0,5,37925,630,3,4794,14600,3,25232
2644,64,0,0,60000,80,41,18,12,15,3,10,18,2,0,8,160,216,795,7,25,231,3,8,2,0,0,5,39,17,17,17,0,3174,1145,8,2,12,9,0,5,25384,535,4,3466,8974,3,21601
3466,64,0,0,60000,80,32,12,17,19,3,9,16,2,0,2,344,161,818,34,33,20,2,5,2,2,0,1,30,21,21,21,0,1456,2148,14,6,14,11,0,5,17975,420,3,5132,6143,2,32556
4288,64,0,0,60000,80,56,9,46,30,3,4,43,1,1,4,164,592,665,31,10,65,3,3,1,0,1,1,60,54,54,54,0,1621,0,0,0,18,15,0,5,24872,290,3,2843,3778,13,53384
5110,64,0,0,60000,80,38,9,15,22,2,8,24,1,0,3,212,281,979,9,20,45,2,5,0,0,0,2,26,16,16,16,0,2525,1656,8,3,14,11,0,5,29657,270,3,3306,5447,2,22585
5932,64,0,0,60000,80,24,20,1,20,5,8,6,2,0,3,299,153,525,72,216,175,4,6,5,2,0,3,12,3,3,3,0,4234,1296,8,3,7,4,0,5,21154,675,4,3904,11915,2,21781
6754,64,0,0,60000,80,34,17,14,23,2,8,15,0,0,9,398,66,744,36,0,222,1,6,5,0,0,5,45,19,19,19,0,3319,933,12,4,11,8,0,5,71503,495,3,6967,11510,2,30954
7576,64,0,0,60000,80,26,22,3,23,2,12,7,0,0,5,166,216,581,54,101,257,2,12,4,0,0,4,15,3,3,3,0,2098,4055,9,10,6,3,0,5,6297,745,4,4214,13303,2,24862
8398,64,0,0,60000,80,66,4,62,22,0,5,61,0,0,0,151,269,4743,0,0,79,0,3,1,0,0,0,73,65,65,65,0,932,0,3,0,149,146,0,5,23918,90,2,9123,617,0,0
9220,64,0,0,60000,80,34,18,15,20,4,7,14,3,1,5,515,202,520,30,110,49,1,6,8,0,1,2,26,20,20,20,0,110,3338,5,15,8,5,0,5,26973,610,4,7119,5404,4,21759
10042,64,0,0,60000,80,68,4,63,23,0,5,62,0,0,1,245,480,3776,0,0,42,0,2,1,0,0,1,74,63,63,63,0,1191,0,3,0,127,124,0,5,37144,65,2,13021,866,0,0
10864,64,0,0,60000,80,42,11,22,32,1,9,28,1,1,2,239,263,681,133,63,92,1,6,2,0,1,1,42,28,28,28,0,2026,0,2,0,11,8,0,5,31717,350,4,5497,5993,6,32528
11686,64,0,0,60000,80,58,4,47,27,2,6,50,0,0,0,279,111,2040,0,0,40,0,3,1,0,0,0,77,55,55,55,0,0,622,16,3,35,32,0,5,59133,105,2,14958,1690,0,0
12508,64,0,0,60000,80,34,15,12,23,3,8,12,3,4,4,351,167,528,41,104,252,2,5,3,1,3,1,23,13,13,13,0,3349,440,15,2,8,5,0,5,14765,535,4,3289,13410,3,32929
13330,64,0,0,60000,80,68,6,61,34,1,2,64,0,0,1,362,149,4202,27,0,226,1,2,2,0,0,1,67,63,63,63,0,1664,0,1,0,158,155,0,5,20898,155,2,2799,452,0,0
14152,64,0,0,60000,80,15,8,4,24,1,6,4,1,0,3,259,286,622,40,0,183,1,5,1,0,0,1,10,4,4,4,0,2232,570,5,2,6,3,0,5,42314,265,2,3629,9910,0,0
14974,64,0,0,60000,80,24,19,2,31,4,7,7,3,1,2,362,191,444,186,141,96,3,7,4,3,0,2,21,5,5,5,0,2078,4480,9,12,6,3,0,5,18210,595,4,4481,11840,2,24886
15796,64,0,0,60000,80,25,20,2,29,4,8,4,1,1,7,584,125,160,48,175,285,3,7,2,0,1,7,16,3,3,3,0,3785,2912,8,8,7,4,0,4,3598,795,4,3551,15577,1,31657
16618,64,0,0,60000,80,83,14,2,29,4,64,7,0,0,8,212,62,987,29,97,39,0,6,1,0,0,7,16,4,4,4,0,3830,0,0,0,8,5,0,4,7196,490,4,3413,11362,2,22639
17440,64,0,0,60000,80,13,4,7,38,1,5,6,0,0,1,280,369,573,72,0,81,1,3,0,0,0,0,15,9,9,9,0,524,0,1,0,7,4,0,5,52603,115,2,3644,2740,0,0
18262,64,0,0,60000,80,21,14,4,20,1,10,4,1,0,5,303,291,575,0,124,107,1,7,1,0,0,5,25,6,5,5,0,3345,0,5,0,8,5,0,5,10031,530,4,5989,9188,3,30574
19084,64,0,0,60000,80,64,3,60,29,1,2,61,0,0,0,458,30,4168,0,0,114,1,1,1,0,0,0,66,63,63,63,0,266,266,10,1,108,105,0,5,37052,80,2,2354,536,0,0
19906,64,0,0,60000,80,31,22,5,31,7,8,8,1,0,7,340,154,362,51,144,374,5,6,4,1,0,6,15,6,6,6,0,1139,5195,22,18,6,3,0,5,18276,765,4,3899,17523,1,25786
20728,64,0,0,60000,80,17,14,0,32,1,6,3,0,0,7,461,179,609,49,83,54,1,4,3,0,0,6,23,0,0,0,0,2701,0,5,0,6,3,0,5,24314,305,4,3728,11570,2,21801
21550,64,0,0,60000,80,18,16,1,24,2,4,2,3,1,6,303,27,877,5,164,59,2,4,1,2,1,6,21,0,0,0,0,3269,1719,10,7,7,4,0,5,49387,630,4,5392,14257,1,28293
